令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
43482 芦北町　　　　,3,-,3,2,-,-,289,-,-,-,84,205,-
43484 津奈木町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4310　球磨　　　　　　　　,11,2,9,6,1,4,1405,404,4,6,367,624,252
43203 人吉市　　　　,9,2,7,5,1,3,1168,404,4,6,313,441,252
43501 錦町　　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43505 多良木町　　　,1,-,1,-,-,1,183,-,-,-,-,183,-
43506 湯前町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43507 水上村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43510 相良村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43511 五木村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43512 山江村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43513 球磨村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
43514 あさぎり町　　,1,-,1,1,-,-,54,-,-,-,54,-,-
4311　天草　　　　　　　　,18,3,15,11,1,9,2632,697,4,22,986,923,210
43212 上天草市　　　,1,-,1,1,-,1,195,-,-,-,46,149,-
43215 天草市　　　　,14,3,11,7,1,7,2097,697,4,22,782,592,210
43531 苓北町　　　　,3,-,3,3,-,1,340,-,-,-,158,182,-
4312　熊本・上益城　　　　,103,18,85,45,6,42,15898,3622,8,25,3303,8940,2416
43101 中央区　　　　,35,3,32,10,2,17,5139,706,-,15,623,3795,777
43102 東区　　　　　,17,5,12,4,2,4,2861,738,8,-,373,1742,878
43103 西区　　　　　,8,2,6,5,-,4,1105,419,-,-,369,317,-
43104 南区　　　　　,16,1,15,10,2,9,3199,461,-,10,1012,1716,761
43105 北区　　　　　,15,5,10,7,-,7,2487,926,-,-,440,1121,-
43441 御船町　　　　,1,1,-,-,-,-,162,162,-,-,-,-,-
43442 嘉島町　　　　,2,-,2,2,-,-,203,-,-,-,93,110,-
43443 益城町　　　　,3,1,2,2,-,-,404,210,-,-,194,-,-
43444 甲佐町　　　　,2,-,2,2,-,-,110,-,-,-,71,39,-
43447 山都町　　　　,4,-,4,3,-,1,228,-,-,-,128,100,-
44　　大分県　,151,25,126,44,12,53,19458,5274,40,12,2365,11767,3537
4401　東部　　　　　　　　,33,5,28,12,2,12,4396,850,8,12,665,2861,761
44202 別府市　　　　,24,4,20,9,2,7,3542,724,4,12,542,2260,761
44210 杵築市　　　　,3,1,2,-,-,1,324,126,-,-,-,198,-
44214 国東市　　　　,3,-,3,2,-,2,292,-,4,-,80,208,-
44322 姫島村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
44341 日出町　　　　,3,-,3,1,-,2,238,-,-,-,43,195,-
4403　中部　　　　　　　　,62,12,50,11,6,18,9062,2881,16,-,620,5545,2061
44201 大分市　　　　,53,12,41,7,5,16,7512,2731,12,-,440,4329,1863
44206 臼杵市　　　　,4,-,4,2,1,-,508,120,4,-,83,301,198
44207 津久見市　　　,1,-,1,-,-,-,120,-,-,-,-,120,-
44213 由布市　　　　,4,-,4,2,-,2,922,30,-,-,97,795,-
4405　南部　　　　　　　　,8,1,7,3,-,5,1167,180,4,-,284,699,-
44205 佐伯市　　　　,8,1,7,3,-,5,1167,180,4,-,284,699,-
4406　豊肥　　　　　　　　,6,1,5,2,1,5,827,212,4,-,111,500,156
44208 竹田市　　　　,3,1,2,1,1,2,458,212,-,-,72,174,156
44212 豊後大野市　　,3,-,3,1,-,3,369,-,4,-,39,326,-
4408　西部　　　　　　　　,20,3,17,8,1,4,1568,567,4,-,241,756,199
44204 日田市　　　　,17,3,14,7,1,4,1423,567,4,-,223,629,199
44461 九重町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
44462 玖珠町　　　　,3,-,3,1,-,-,145,-,-,-,18,127,-
4409　北部　　　　　　　　,22,3,19,8,2,9,2438,584,4,-,444,1406,360
44203 中津市　　　　,11,1,10,3,1,7,1305,140,-,-,231,934,250
44209 豊後高田市　　,3,1,2,-,-,1,361,196,-,-,-,165,-
44211 宇佐市　　　　,8,1,7,5,1,1,772,248,4,-,213,307,110
45　　宮崎県　,132,17,115,58,9,58,18177,5835,31,71,3218,9022,2803
4501　宮崎東諸県　　　　　,38,5,33,15,4,16,6079,1398,7,71,1070,3533,1434
45201 宮崎市　　　　,36,5,31,14,4,16,5950,1398,7,71,986,3488,1434
45382 国富町　　　　,2,-,2,1,-,-,129,-,-,-,84,45,-
45383 綾町　　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4502　都城北諸県　　　　　,28,4,24,9,2,11,3623,1419,4,-,393,1807,531
45202 都城市　　　　,27,3,24,9,2,11,3312,1108,4,-,393,1807,531
45341 三股町　　　　,1,1,-,-,-,-,311,311,-,-,-,-,-
4503　延岡西臼杵　　　　　,20,3,17,11,1,8,2631,944,4,-,528,1155,410
45203 延岡市　　　　,16,2,14,9,1,5,2151,688,4,-,450,1009,410
45441 高千穂町　　　,2,1,1,1,-,1,376,256,-,-,60,60,-
45442 日之影町　　　,1,-,1,-,-,1,50,-,-,-,-,50,-
45443 五ヶ瀬町　　　,1,-,1,1,-,1,54,-,-,-,18,36,-
4504　日南串間　　　　　　,10,1,9,5,1,3,1767,674,4,-,316,773,281
45204 日南市　　　　,8,1,7,4,1,2,1213,310,4,-,246,653,281
45207 串間市　　　　,2,-,2,1,-,1,554,364,-,-,70,120,-
4505　西諸　　　　　　　　,15,2,13,6,1,7,1342,431,4,-,300,607,147
45205 小林市　　　　,11,2,9,6,1,5,1169,431,4,-,300,434,147
45209 えびの市　　　,3,-,3,-,-,1,117,-,-,-,-,117,-
45361 高原町　　　　,1,-,1,-,-,1,56,-,-,-,-,56,-
4506　西都児湯　　　　　　,10,-,10,5,-,8,1180,155,4,-,319,702,-
45208 西都市　　　　,5,-,5,3,-,4,514,155,-,-,146,213,-
45401 高鍋町　　　　,2,-,2,1,-,1,230,-,-,-,113,117,-
45402 新富町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
45403 西米良村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
45404 木城町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
45405 川南町　　　　,2,-,2,1,-,2,371,-,-,-,60,311,-
45406 都農町　　　　,1,-,1,-,-,1,65,-,4,-,-,61,-
4507　日向入郷　　　　　　,11,2,9,7,-,5,1555,814,4,-,292,445,-
45206 日向市　　　　,6,2,4,4,-,2,1062,611,-,-,189,262,-
45421 門川町　　　　,3,-,3,3,-,1,434,203,4,-,103,124,-
45429 諸塚村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
45430 椎葉村　　　　,1,-,1,-,-,1,30,-,-,-,-,30,-
45431 美郷町　　　　,1,-,1,-,-,1,29,-,-,-,-,29,-
46　　鹿児島県,230,37,193,111,15,88,31672,9340,45,78,6805,15404,4136
4601　鹿児島　　　　　　　,100,14,86,47,5,32,13506,3581,7,40,2727,7151,1871
46201 鹿児島市　　　,85,12,73,38,5,30,12330,3281,7,40,2352,6650,1871
46216 日置市　　　　,9,1,8,6,-,2,755,150,-,-,288,317,-
46219 いちき串木野市,6,1,5,3,-,-,421,150,-,-,87,184,-
46303 三島村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46304 十島村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4603　南薩　　　　　　　　,30,6,24,14,2,11,3493,1446,8,20,851,1168,374
46204 枕崎市　　　　,8,1,7,4,-,4,653,175,-,-,181,297,-
46210 指宿市　　　　,9,2,7,5,1,3,1196,491,4,-,340,361,199
46220 南さつま市　　,7,1,6,1,1,3,896,452,4,20,26,394,175
46223 南九州市　　　,6,2,4,4,-,1,748,328,-,-,304,116,-
4605　川薩　　　　　　　　,15,3,12,8,1,7,1915,576,4,-,485,850,224
46215 薩摩川内市　　,11,2,9,6,1,6,1365,381,4,-,332,648,224
46392 さつま町　　　,4,1,3,2,-,1,550,195,-,-,153,202,-
4606　出水　　　　　　　　,8,3,5,3,2,3,1227,495,4,-,249,479,483
46206 阿久根市　　　,3,1,2,1,1,2,506,185,-,-,99,222,222
46208 出水市　　　　,5,2,3,2,1,1,721,310,4,-,150,257,261
46404 長島町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4607　姶良・伊佐　　　　　,33,4,29,18,1,13,4913,1599,8,-,1359,1947,254
46218 霧島市　　　　,15,1,14,10,1,6,2203,752,4,-,682,765,254
46224 伊佐市　　　　,6,1,5,3,-,3,600,139,4,-,177,280,-
46225 姶良市　　　　,11,2,9,4,-,4,1893,534,-,-,457,902,-
46452 湧水町　　　　,1,-,1,1,-,-,217,174,-,-,43,-,-
4609　曽於　　　　　　　　,8,1,7,6,1,1,831,124,2,-,327,378,198
46217 曽於市　　　　,6,-,6,5,1,1,607,-,2,-,287,318,198
46221 志布志市　　　,2,1,1,1,-,-,224,124,-,-,40,60,-
46468 大崎町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4610　肝属　　　　　　　　,17,3,14,7,2,9,2818,653,4,-,310,1851,382
46203 鹿屋市　　　　,13,3,10,5,1,6,2356,653,4,-,239,1460,186
46214 垂水市　　　　,1,-,1,1,-,1,126,-,-,-,35,91,-
46482 東串良町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46490 錦江町　　　　,1,-,1,1,1,1,196,-,-,-,36,160,196
46491 南大隅町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46492 肝付町　　　　,2,-,2,-,-,1,140,-,-,-,-,140,-
4611　熊毛　　　　　　　　,4,1,3,-,-,3,536,130,4,1,-,401,-
46213 西之表市　　　,2,1,1,-,-,1,334,130,2,-,-,202,-
46501 中種子町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46502 南種子町　　　,1,-,1,-,-,1,62,-,2,-,-,60,-
46505 屋久島町　　　,1,-,1,-,-,1,140,-,-,1,-,139,-
4612　奄美　　　　　　　　,15,2,13,8,1,9,2433,736,4,17,497,1179,350
46222 奄美市　　　　,7,1,6,3,1,3,1430,348,4,15,253,810,350
46523 大和村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46524 宇検村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46525 瀬戸内町　　　,2,-,2,1,-,1,254,182,-,-,12,60,-
46527 龍郷町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46529 喜界町　　　　,1,-,1,1,-,1,89,-,-,-,49,40,-
46530 徳之島町　　　,3,1,2,1,-,2,447,206,-,2,79,160,-
46531 天城町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46532 伊仙町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46533 和泊町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
46534 知名町　　　　,1,-,1,1,-,1,132,-,-,-,72,60,-
46535 与論町　　　　,1,-,1,1,-,1,81,-,-,-,32,49,-
47　　沖縄県　,89,12,77,38,11,24,18702,5289,24,47,3685,9657,4008
4701　北部　　　　　　　　,9,1,8,4,2,2,1835,337,2,-,436,1060,563
47209 名護市　　　　,6,-,6,2,2,2,1455,167,2,-,226,1060,563
47301 国頭村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47302 大宜味村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47303 東村　　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47306 今帰仁村　　　,1,-,1,1,-,-,60,-,-,-,60,-,-
47308 本部町　　　　,2,1,1,1,-,-,320,170,-,-,150,-,-
47315 伊江村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47359 伊平屋村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47360 伊是名村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4702　中部　　　　　　　　,28,5,23,13,3,4,5971,1859,4,30,1299,2779,1222
47205 宜野湾市　　　,3,-,3,2,-,-,575,-,-,30,114,431,-
47211 沖縄市　　　　,9,2,7,4,1,1,1905,723,-,-,438,744,355
47213 うるま市　　　,6,3,3,1,1,1,1438,702,4,-,120,612,559
47311 恩納村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47313 宜野座村　　　,1,-,1,1,-,-,104,-,-,-,64,40,-
47314 金武町　　　　,1,-,1,-,-,-,416,326,-,-,-,90,-
47324 読谷村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47325 嘉手納町　　　,1,-,1,1,-,-,122,-,-,-,82,40,-
47326 北谷町　　　　,2,-,2,2,-,-,174,-,-,-,174,-,-
47327 北中城村　　　,3,-,3,2,-,1,867,108,-,-,307,452,-
47328 中城村　　　　,2,-,2,-,1,1,370,-,-,-,-,370,308
4703　南部　　　　　　　　,45,6,39,19,5,14,9664,3006,12,8,1646,4992,1918
47201 那覇市　　　　,17,2,15,7,2,4,3186,735,-,-,593,1858,772
47208 浦添市　　　　,7,-,7,5,1,2,1351,309,-,-,402,640,334
47210 糸満市　　　　,5,3,2,2,-,-,1172,962,-,-,180,30,-
47212 豊見城市　　　,4,-,4,1,1,2,908,-,-,-,118,790,378
47215 南城市　　　　,1,-,1,1,-,-,199,-,-,-,169,30,-
47329 西原町　　　　,2,-,2,-,-,1,648,40,6,4,-,598,-
47348 与那原町　　　,1,-,1,1,-,1,170,-,-,-,74,96,-
47350 南風原町　　　,6,1,5,2,1,2,1633,960,6,4,110,553,434
47353 渡嘉敷村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47354 座間味村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47355 粟国村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47356 渡名喜村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47357 南大東村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47358 北大東村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47361 久米島町　　　,1,-,1,-,-,1,40,-,-,-,-,40,-
47362 八重瀬町　　　,1,-,1,-,-,1,357,-,-,-,-,357,-
4704　宮古　　　　　　　　,4,-,4,1,1,2,758,49,3,3,216,487,305
47214 宮古島市　　　,4,-,4,1,1,2,758,49,3,3,216,487,305
47375 多良間村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
4705　八重山　　　　　　　,3,-,3,1,-,2,474,38,3,6,88,339,-
47207 石垣市　　　　,3,-,3,1,-,2,474,38,3,6,88,339,-
47381 竹富町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
47382 与那国町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
